id,fun_question,note
1102,"Trong năm 2025, tôi muốn xem TTPMVT có bao nhiêu nhân sự đang làm việc tại trung tâm",
1024,Trong T1/2025 - T12/2025 thì TTPMVT có RA thực hiện và kế hoạch là bao nhiêu MM.,
1087,"Trong T11/2025, tôi muốn xem các chỉ số leakage rate theo dự án của TTPMVT được xếp hạng ra sao",
1075,Trong T10/2025 thì leakage rate norm của TTPMTCS là bao nhiêu,
1078,Trong T11/2025 hãy so sánh leakage rate của TTPMCNM với toàn công ty,
1117,"Trong quý 4/2025, tôi muốn xem Tổng nguồn lực khả dụng SX của TTPMVT là bao nhiêu",
1012,Trong T01/2025 -> T12/2025 thì cho biết với loại dự án là OSDC của công ty thì có SLNT Thực hiện và Kế Hoạch là bao nhiêu MM.,
1006,"Trong tháng 12/2025, công ty có dữ liệu về SLSX Thực Hiện và Kế hoạch như nào.",
1057,"Trong T11/2025, tôi muốn xem các chỉ số defect rate theo dự án được xếp hạng ra sao",
1147,"Trong Tháng 12/2025, cả công ty có bao nhiêu nhân sự được tuyển mới vào theo level J, M",
1132,Trong Q1/2025 thì chi tiết Free Effort theo nhân sự là bao nhiêu người,
1096,"Trong Q1/2025, số lượng CBNV có giới tính là Nam bao nhiêu",
1090,"Trong T10/2025, tôi muốn xem các thông số leakage rate trong kỳ của dự án BU05.VTT.MyViettel có các giá trị như nào",
1000,Trong Quý 3/2025 thì TTPMTCS có bao nhiêu dự án.,
1039,Trong T11/2025 thì defect rate lũy kế của TTPMQT là bao nhiêu,
1144,"Trong T5/2025, cả công ty có bao nhiêu nhân sự được tuyển mới với role là BA",
1141,"Trong Q4/2025, thì TTPMVT có bao nhiêu nhân sự được tuyển mới",
1135,"Trong khoảng từ T6/2025 - T12/2025, thì tỉ lệ rảnh rỗi theo trung tâm/level/role role Tester là bao nhiêu %",
1033,Trong T12/2025 thì TTPMTCS có giá trị SLNT(PMO) theo Tự SX/OS/Liên kết là bao nhiêu MM.,
1120,"Trong năm 2025, Tỷ lệ sử dụng nguồn lực của TTPMVT là bao nhiêu %",
1027,Trong T12/2025 thì TTPMTCS có bao nhiêu dự án có RA lũy kế vượt Budget theo đơn vị,
1045,Trong T10/2025 thì defect rate norm của TTPMTCS là bao nhiêu,
1126,"Trong T10/2025, cho tôi biết tỉ lệ nhân sự rảnh rỗi theo theo gian của TTPMTCS là bao nhiêu %",
1030,Trong T12/2025 thì TTPMTCS có giá trị SLSX theo Tự SX/OS/Liên kết là bao nhiêu MM.,
